Altitude(ft),Pressure(Pa),Temperature(f)
0.0,101258.75,52.36
7.789999999993597,101268.25,52.47
5.539999999993597,101265.5,52.47
-1.4400000000023283,101257.0,52.47
-3.6900000000023283,101254.25,52.36
-8.820000000006985,101248.0,52.36
-7.389999999999418,101249.75,52.36
-9.85000000000582,101246.75,52.25
-14.35000000000582,101241.25,52.25
-15.169999999998254,101240.25,52.14
-13.529999999998836,101242.25,52.14
-11.889999999999418,101244.25,52.14
-12.10000000000582,101244.0,52.14
-12.710000000006403,101243.25,52.14
-10.869999999995343,101245.5,52.14
-6.7700000000040745,101250.5,52.14
-1.8500000000058208,101256.5,52.14
9.020000000004075,101269.75,52.14
19.270000000004075,101282.25,52.14
16.80999999999767,101279.25,52.03
13.739999999990687,101275.5,52.03
15.369999999995343,101277.5,52.03
16.80999999999767,101279.25,52.03
21.330000000001746,101284.75,52.03
17.429999999993015,101280.0,51.91
18.25,101281.0,51.91
18.64999999999418,101281.5,51.91
16.19000000000233,101278.5,51.8
14.970000000001164,101277.0,51.8
14.349999999991269,101276.25,51.8
13.119999999995343,101274.75,51.8
15.789999999993597,101278.0,51.8
14.759999999994761,101276.75,51.8
12.509999999994761,101274.0,51.69
9.639999999999418,101270.5,51.69
13.940000000002328,101275.75,51.69
7.179999999993015,101267.5,51.58
10.660000000003492,101271.75,51.46
7.380000000004657,101267.75,51.46
10.860000000000582,101272.0,51.46
12.709999999991851,101274.25,51.46
9.020000000004075,101269.75,51.35
7.789999999993597,101268.25,51.35
10.860000000000582,101272.0,51.35
9.020000000004075,101269.75,51.35
4.919999999998254,101264.75,51.24
7.580000000001746,101268.0,51.35
7.789999999993597,101268.25,51.24
10.039999999993597,101271.0,51.35
14.55000000000291,101276.5,51.35
11.690000000002328,101273.0,51.24
9.429999999993015,101270.25,51.24
10.660000000003492,101271.75,51.24
7.380000000004657,101267.75,51.24
8.819999999992433,101269.5,51.24
6.360000000000582,101266.5,51.13
8.610000000000582,101269.25,51.13
8.39999999999418,101269.0,51.13
6.970000000001164,101267.25,51.13
9.429999999993015,101270.25,51.13
6.559999999997672,101266.75,51.13
5.539999999993597,101265.5,51.01
6.759999999994761,101267.0,51.01
5.940000000002328,101266.0,51.01
4.720000000001164,101264.5,51.01
4.099999999991269,101263.75,51.01
1.8399999999965075,101261.0,50.9
-0.6199999999953434,101258.0,50.9
5.330000000001746,101265.25,51.01
1.2200000000011642,101260.25,50.9
1.8399999999965075,101261.0,50.9
-0.8200000000069849,101257.75,50.9
0.19999999999708962,101259.0,50.9
0.819999999992433,101259.75,50.79
-0.21000000000640284,101258.5,50.79
-1.0299999999988358,101257.5,50.79
0.0,101258.75,50.79
-8.610000000000582,101248.25,50.79
-10.25,101246.25,50.79
-12.710000000006403,101243.25,50.67
-4.720000000001164,101253.0,50.67
-8.210000000006403,101248.75,50.67
-15.169999999998254,101240.25,50.67
-15.169999999998254,101240.25,50.67
-17.839999999996508,101237.0,50.67
-19.889999999999418,101234.5,50.67
-21.94000000000233,101232.0,50.56
-24.19999999999709,101229.25,50.56
-19.479999999995925,101235.0,50.56
-19.479999999995925,101235.0,50.56
-13.529999999998836,101242.25,50.56
5.330000000001746,101265.25,50.56
10.25,101271.25,50.56
8.0,101268.5,50.56
8.0,101268.5,50.45
